"question","design","value","theme_short_name","theme_explanation","overarching_theme_short_name","overarching_theme_explanation"
"In what situations or activities do you think wearing the light logger might be difficult","wrist","I work for a moving company and my main hobby is rock climbing. I used to wear an apple watch that I destroyed pretty quickly wearing it while performing these activities.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","Could make moving furniture (my job) difficult. Also it just looks like a bad/conspicuous spot so wearing it socially wouldn't be ideal","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","I generally wouldn't wear my glasses to work or to working out, so by having these as a glasses accessory I wouldn't wear them much","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","Doesn't appear as though it would interfere in activities","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","If this is a necklace and it must be worn so that the charm (logger) is on the outside of the shirt, it could hinder some more physical activities eg rock climbing/ manual labor","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","an arm band? It would likely restrict any activity that involves using an arm, which is a lot of them","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","showering/bathing or in rainy weather ( i would be worried about it getting wet)  maybe while typing or using a computer depending how heavy it is and if you get easily irritated by texture/weight on your wrist","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","maybe during intense exercise? i worry about it falling off","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","maybe during intense exercise if it can fall off easily","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Cooking","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","Bending over","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Anything with a lot of movement.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Anything with a lot of movement.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Anything with movement, excercising, running, etc.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","when I go swimming, it is hard to wear this kind of device.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","It could move a lot during excising.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","Putting directly on my skin may cause skin irritation, especially during excising.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Showering and exercise if it fits loose.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","Exercise when lifting weights and showering.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","When I'm running or when I'm in a social setting that requires me to be more dressed up and it might look funny to others.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","If I'm running - I'm not sure how it is being held on. If I'm in a fancy situation, people would notice it on my attire.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","I think this would be difficult to wear when working out, laying around, in a social setting that would have a lot of attention drawn to my face (conversations).","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","Not sure if this is just on a hat or the device is on the hat and you would be required to wear that specific hat, but as someone who doesn't wear hats, I would find the hat wearing to be the most difficult. Working out, social settings - it would be difficult all around.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Doing exercises. Doing anything that would require you to constantly bend at the hips and give this the potential to fall off or move around.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Anything that would make it bounce around of swing around. Exercise or anything that would require me to lean down and pick something up (type of movement).","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","If I needed to put on long sleeve attire. I would worry about wearing it when working out and it not staying in place, but if it does, no issues there.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","In situations where I would need to move my arms around a lot.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","The logger would be difficult when moving around as I think it would be uncomfortable.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","I think it may be difficult to wear this during rigorous exercise because It might fall off.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Wearing this might be difficult during daily activities as I believe it can restrict your range of motion.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","during extensive exercise when jumping.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","doing dishes or anything to do with water","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Obstructs peripheral vision while driving, meetings or moving around the house","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","working out","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","moving around, wearing coats, workout","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","DURING WORKOUT SESSION","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","Social situations because I'd get questions about it. If I had to run quickly it might get loose from the imapct.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","When moving quickly it might come undone","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","When moving quickly it would bounce a lot. If I had to be upside down it would fall off.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","I think in this age it is socially limiting at least until VR/ AR tools come around. I would not wear it to sleep. I would also be hesitant to wear it while working out.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","I think this form factor limits the times the situation you could wear it since it would require a hat or a hair style it allow for it. I think it be difficult for working out due to high motion an impracticality of wearing a hat.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","I think with this design any high motion task working out, up down motions and lying on you back could cause irritation or the item falling off.  Also I see the design as easier to forget to use than the others.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","The only situation or actives I see this design being difficult is in environment where your upper body rubs against surfaces like maybe rock-climbing are plumbing.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","The situations that I see the light logger being difficult here are still high active work outs were the logger could bounce and give bad reading. High temperatures activities like welding or cooking where having the logger in a place that can capture could lead to close contact with high heat sources.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","When you are doing work or chores that require a lot of hand movement.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","It doesn't look to be stable. Any sort of fast movement would make it fall.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","any fast movement such as running or exercise.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Typing, trapeze exercises, underwater activities","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","jogging, swimming,","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","jogging, swimming, trapeze exercises","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","jogging, swimming","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","running, swimming, trapeze exercises, yoga","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","jogging, yoga, trapeze, swimming, etc.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","At work; I work with rare papers and materials and would want to avoid anything that could catch on and rip materials that I'm working with.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","It would catch on the hair of anyone with long hair, be jostled easily, and would cause uneven weight on the glasses that could hurt or simply make the glasses go askew, making everyday activities uncomfortable. It also looks like a camera due to the placement, which I think would look highly suspicious in social settings.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Any situation in which a person is moving their arms above shoulder level--for example, stocking high shelves at work--or where a person may not be upright, like while lounging. They look like they could slip off.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Exercise or activities with vigorous movements that could cause the sensor to bounce around and be distracting.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Wearing it at the beach or swimming pool, particularly if it not waterproof; wearing it during exercise; wearing it while working with tools and/or where I need to reach into tight spaces.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","The light logger might be difficult to wear if I am doing exercise that requires me to invert my body or if I am carrying a child or a pet.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","It might be difficult in situations where I am running or exercising, because it looks like it might bounce around during vigorous movement.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","During resistance training, such as biceps curls, the light logger might be too tight and uncomfortable to wear.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","during exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","While performing household tasks (such as washing dishes, cleaning, etc) and during the night, while sleeping.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","During a high-intensity workout","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","During high-intensity exercises","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Maybe while swimming or working out.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","During vigorous activity as it might fall off, during swimming or inclement weather, or if my outfit would not accommodate it.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","vigorous exercise, swimming, some outdoor activities where glasses might come off.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","If it were hot out as it looks like a knitted cap, if doing some vigorous exercise.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","During exercise. Possibly   while sitting depending on how it fits across the back.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","Maybe during exercise or something where it might dislodge the sensor. Maybe depending on how it affixes to clothing as well.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","During wet conditions, or if the bouncing of the sensor would not be good or irritating while exercising.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","During exercise, while wearing certain clothing, in general hard to keep in place without becoming too tight or bothersome.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","Exercising, sleeping, taking a shower, swimming will be difficult to do. Or maybe even while going to restaurant because it is, for me, rude to leave the cap on while eating, and I expect one to take it off.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","I think any physical activities, running, swimming, jumping, showing, laying down will be very difficult to keep it on.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","I think physical activities like swimming, running, jumping, that might be too cumbersome and dangerous as it might get tangled. May be a bit difficult if one has small children around, and it gets pulled and hurt one's neck.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","I think anything that needs strong arm movement, lifting weights for example, will be difficult.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","working out","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","Warm weather, exercising, professional places","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Working out","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Showering, completing tasks, won't fit over existing glasses","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","might be difficult while working out.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","These are clunky glasses so they would be distracting in social and work situations. They would also be difficult to exercise in.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","This is a hat that would be unfashionable in work and social situations. It would also be distracting. In exercise, it could make the head sweaty.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
