question,design,value
In what situations or activities do you think wearing the light logger might be difficult,wrist,I work for a moving company and my main hobby is rock climbing. I used to wear an apple watch that I destroyed pretty quickly wearing it while performing these activities.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Could make moving furniture (my job) difficult. Also it just looks like a bad/conspicuous spot so wearing it socially wouldn't be ideal
In what situations or activities do you think wearing the light logger might be difficult,glasses,"I generally wouldn't wear my glasses to work or to working out, so by having these as a glasses accessory I wouldn't wear them much"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,I generally wouldn't wear a beanie cap around the house but aside from that this seems to be the best option yet
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"I'm not sure what I'm looking at, is that an apparatus that wraps around the neck, akin to a neck pillow? I would never wear that"
In what situations or activities do you think wearing the light logger might be difficult,chestpin,Doesn't appear as though it would interfere in activities
In what situations or activities do you think wearing the light logger might be difficult,necklace,"If this is a necklace and it must be worn so that the charm (logger) is on the outside of the shirt, it could hinder some more physical activities eg rock climbing/ manual labor"
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"an arm band? It would likely restrict any activity that involves using an arm, which is a lot of them"
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,The light logger appears to take the place of a wristwatch
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,The logger is clipped to the neck of a shirt. Seems uncomfortable
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,"a clip attached to glasses, could be clunky"
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,The logger is pinned to a beanie on the head. Might make more sense for catching light as well as being non-invasive
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,A band around the neck. Ugly
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,Appears to be a patch on the shirt
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,the logger appears as a pendant on a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,A weird arm band that I would never wear
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"Imagining that the logger is similar to a small solar panel, I cannot think of any other designs for this item"
Do you have any other comments on this survey?,general,That arm band and that neck band are silly in my opinion
In what situations or activities do you think wearing the light logger might be difficult,wrist,showering/bathing or in rainy weather ( i would be worried about it getting wet)  maybe while typing or using a computer depending how heavy it is and if you get easily irritated by texture/weight on your wrist
In what situations or activities do you think wearing the light logger might be difficult,collarpin,maybe during intense exercise? i worry about it falling off
In what situations or activities do you think wearing the light logger might be difficult,glasses,most would be annoying because if you do not already wear glasses it forces you to and if you already wear glasses it adds extra weight
In what situations or activities do you think wearing the light logger might be difficult,hatpin,any work setting or anywhere it would be uncomfortable / unfit to wear a beanie
In what situations or activities do you think wearing the light logger might be difficult,neckloop,most this would be irritating to have some weight / thing hang around your neck
In what situations or activities do you think wearing the light logger might be difficult,chestpin,maybe during intense exercise if it can fall off easily
In what situations or activities do you think wearing the light logger might be difficult,necklace,"depending how heavy, this would be annoying in most situations because there is something rubbing against your neck"
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,places you have to wear a long sleeved shirt or jacket to / outside in winter or rain or at workplaces
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,wrist wearable like a watch
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,clipped on shirt collar or neckline
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,on glasses near side of head
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,rim of beanie on top of head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around neck / over shoulders
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,chest on shirt
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,on necklace at collar
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,around upper arm / bicep area
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,maybe a ring because a lot of people already wear rings and if it can be integrated easily it wont be noticeable or add any extra bulk/weight
Do you have any other comments on this survey?,general,no
In what situations or activities do you think wearing the light logger might be difficult,wrist,Cooking
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Bending over
In what situations or activities do you think wearing the light logger might be difficult,glasses,Anything with a lot of movement.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"Might mess up hair, hot"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Anything with a lot of movement.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,I don't think it would be difficult to wear this light logger. Maybe a jacket could get caught?
In what situations or activities do you think wearing the light logger might be difficult,necklace,"Anything with movement, excercising, running, etc."
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,I don't think this would be difficult to wear.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,Around the wrist like a watch.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Attached to the collar of a shirt
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Worn like glasses.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Around the head like a beanie.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Over the shoulders like a scarf
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,"Left side of the chest, like a shirt pocket."
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Around the neck like a necklace.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Around the bicep.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"I can envision it as a type of ring as well. It would be practical and hidden. It might be a hinder to wear in some situtions though, like cooking, washing hands, etc."
Do you have any other comments on this survey?,general,Interesting survey!
In what situations or activities do you think wearing the light logger might be difficult,wrist,"When you go to see a movie or somewhere dark.  Or, going to poo/jacuzzies/Sauna"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"when I go swimming, it is hard to wear this kind of device."
In what situations or activities do you think wearing the light logger might be difficult,glasses,I do not to wear glasses to use this kind of device.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"I do not want to wear to use this devices, especially indoor or when it's warm weather."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,too big for any of the activities.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"At work, some might think it is a hidden camera or recording devices. It looks suspicious."
In what situations or activities do you think wearing the light logger might be difficult,necklace,It could move a lot during excising.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"Putting directly on my skin may cause skin irritation, especially during excising."
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,putting on my wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,clip on my clothes
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Putting on my glasses/sunglasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,putting on a hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,"hanging around my neck, like scaf"
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,clipping on my clothes.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,"hanging around my neck, like necklace."
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Wrapping around my arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,It could be nice to make it small enough to use as earing or ring so it does not bother too much.
Do you have any other comments on this survey?,general,"At first, I thought this light logging for light therapy or something.   For environment purpose, I am very interested in this study's outcome."
In what situations or activities do you think wearing the light logger might be difficult,wrist,Taking a shower
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Showering
In what situations or activities do you think wearing the light logger might be difficult,glasses,In the Shower
In what situations or activities do you think wearing the light logger might be difficult,hatpin,In the shower or if going somewhere formal.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Showering and exercise if it fits loose.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,Showering
In what situations or activities do you think wearing the light logger might be difficult,necklace,Showering and also it is loose so may get caught on thinks.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,Exercise when lifting weights and showering.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,On the left wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Don't like this one
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,I wouldn't wear these glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,I wouldn't put this on any of my hats.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,This looks like some blue tooth earphone devices around the neck. So it could make sense.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,On the shirt may be ok if somewhat discreet.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,It is to loose around the neck. Prefer the watch type band.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Not a fan of on the arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Maybe a ear piece design.
Do you have any other comments on this survey?,general,"I would go with the watch band, it blends like a Fitbit type."
In what situations or activities do you think wearing the light logger might be difficult,wrist,When I'm running or when I'm in a social setting that requires me to be more dressed up and it might look funny to others.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"If I'm running - I'm not sure how it is being held on. If I'm in a fancy situation, people would notice it on my attire."
